x,x^2,x^3,x^4,x^5,x^6,x^7,x^8,y
-1,1,-1,1,-1,1,-1,1,-1.22E-16
-0.975,0.950625,-0.926859375,0.903687891,-0.881095693,0.859068301,-0.837591593,0.816651804,-0.078459096
-0.95,0.9025,-0.857375,0.81450625,-0.773780938,0.735091891,-0.698337296,0.663420431,-0.156434465
-0.925,0.855625,-0.791453125,0.732094141,-0.67718708,0.626398049,-0.579418195,0.535961831,-0.233445364
-0.9,0.81,-0.729,0.6561,-0.59049,0.531441,-0.4782969,0.43046721,-0.309016994
-0.875,0.765625,-0.669921875,0.586181641,-0.512908936,0.448795319,-0.392695904,0.343608916,-0.382683432
-0.85,0.7225,-0.614125,0.52200625,-0.443705313,0.377149516,-0.320577088,0.272490525,-0.4539905
-0.825,0.680625,-0.561515625,0.463250391,-0.382181572,0.315299797,-0.260122333,0.214600924,-0.522498565
-0.8,0.64,-0.512,0.4096,-0.32768,0.262144,-0.2097152,0.16777216,-0.587785252
-0.775,0.600625,-0.465484375,0.360750391,-0.279581553,0.216675703,-0.16792367,0.130140844,-0.649448048
-0.75,0.5625,-0.421875,0.31640625,-0.237304688,0.177978516,-0.133483887,0.100112915,-0.707106781
-0.725,0.525625,-0.381078125,0.276281641,-0.200304189,0.145220537,-0.10528489,0.076331545,-0.760405966
-0.7,0.49,-0.343,0.2401,-0.16807,0.117649,-0.0823543,0.05764801,-0.809016994
-0.675,0.455625,-0.307546875,0.207594141,-0.140126045,0.09458508,-0.063844929,0.043095327,-0.852640164
-0.65,0.4225,-0.274625,0.17850625,-0.116029063,0.075418891,-0.049022279,0.031864481,-0.891006524
-0.625,0.390625,-0.244140625,0.152587891,-0.095367432,0.059604645,-0.037252903,0.023283064,-0.923879533
-0.6,0.36,-0.216,0.1296,-0.07776,0.046656,-0.0279936,0.01679616,-0.951056516
-0.575,0.330625,-0.190109375,0.109312891,-0.062854912,0.036141574,-0.020781405,0.011949308,-0.97236992
-0.55,0.3025,-0.166375,0.09150625,-0.050328438,0.027680641,-0.015224352,0.008373394,-0.987688341
-0.525,0.275625,-0.144703125,0.075969141,-0.039883799,0.020938994,-0.010992972,0.00577131,-0.996917334
-0.5,0.25,-0.125,0.0625,-0.03125,0.015625,-0.0078125,0.00390625,-1
-0.475,0.225625,-0.107171875,0.050906641,-0.024180654,0.011485811,-0.00545576,0.002591486,-0.996917334
-0.45,0.2025,-0.091125,0.04100625,-0.018452813,0.008303766,-0.003736695,0.001681513,-0.987688341
-0.425,0.180625,-0.076765625,0.032625391,-0.013865791,0.005892961,-0.002504509,0.001064416,-0.97236992
-0.4,0.16,-0.064,0.0256,-0.01024,0.004096,-0.0016384,0.00065536,-0.951056516
-0.375,0.140625,-0.052734375,0.019775391,-0.007415771,0.002780914,-0.001042843,0.000391066,-0.923879533
-0.35,0.1225,-0.042875,0.01500625,-0.005252188,0.001838266,-0.000643393,0.000225188,-0.891006524
-0.325,0.105625,-0.034328125,0.011156641,-0.003625908,0.00117842,-0.000382987,0.000124471,-0.852640164
-0.3,0.09,-0.027,0.0081,-0.00243,0.000729,-0.0002187,0.00006561,-0.809016994
-0.275,0.075625,-0.020796875,0.005719141,-0.001572764,0.00043251,-0.00011894,3.27086E-05,-0.760405966
-0.25,0.0625,-0.015625,0.00390625,-0.000976563,0.000244141,-6.10352E-05,1.52588E-05,-0.707106781
-0.225,0.050625,-0.011390625,0.002562891,-0.00057665,0.000129746,-2.91929E-05,6.56841E-06,-0.649448048
-0.2,0.04,-0.008,0.0016,-0.00032,0.000064,-0.0000128,0.00000256,-0.587785252
-0.175,0.030625,-0.005359375,0.000937891,-0.000164131,2.87229E-05,-5.02651E-06,8.79639E-07,-0.522498565
-0.15,0.0225,-0.003375,0.00050625,-7.59375E-05,1.13906E-05,-1.70859E-06,2.56289E-07,-0.4539905
-0.125,0.015625,-0.001953125,0.000244141,-3.05176E-05,3.8147E-06,-4.76837E-07,5.96046E-08,-0.382683432
-0.1,0.01,-0.001,0.0001,-0.00001,0.000001,-0.0000001,0.00000001,-0.309016994
-0.075,0.005625,-0.000421875,3.16406E-05,-2.37305E-06,1.77979E-07,-1.33484E-08,1.00113E-09,-0.233445364
-0.05,0.0025,-0.000125,6.25E-06,-3.125E-07,1.5625E-08,-7.8125E-10,3.90625E-11,-0.156434465
-0.025,0.000625,-1.5625E-05,3.90625E-07,-9.76562E-09,2.44141E-10,-6.10352E-12,1.52588E-13,-0.078459096
0,0,0,0,0,0,0,0,0
0.025,0.000625,1.5625E-05,3.90625E-07,9.76562E-09,2.44141E-10,6.10352E-12,1.52588E-13,0.078459096
0.05,0.0025,0.000125,6.25E-06,3.125E-07,1.5625E-08,7.8125E-10,3.90625E-11,0.156434465
0.075,0.005625,0.000421875,3.16406E-05,2.37305E-06,1.77979E-07,1.33484E-08,1.00113E-09,0.233445364
0.1,0.01,0.001,0.0001,0.00001,0.000001,0.0000001,0.00000001,0.309016994
0.125,0.015625,0.001953125,0.000244141,3.05176E-05,3.8147E-06,4.76837E-07,5.96046E-08,0.382683432
0.15,0.0225,0.003375,0.00050625,7.59375E-05,1.13906E-05,1.70859E-06,2.56289E-07,0.4539905
0.175,0.030625,0.005359375,0.000937891,0.000164131,2.87229E-05,5.02651E-06,8.79639E-07,0.522498565
0.2,0.04,0.008,0.0016,0.00032,0.000064,0.0000128,0.00000256,0.587785252
0.225,0.050625,0.011390625,0.002562891,0.00057665,0.000129746,2.91929E-05,6.56841E-06,0.649448048
0.25,0.0625,0.015625,0.00390625,0.000976563,0.000244141,6.10352E-05,1.52588E-05,0.707106781
0.275,0.075625,0.020796875,0.005719141,0.001572764,0.00043251,0.00011894,3.27086E-05,0.760405966
0.3,0.09,0.027,0.0081,0.00243,0.000729,0.0002187,0.00006561,0.809016994
0.325,0.105625,0.034328125,0.011156641,0.003625908,0.00117842,0.000382987,0.000124471,0.852640164
0.35,0.1225,0.042875,0.01500625,0.005252188,0.001838266,0.000643393,0.000225188,0.891006524
0.375,0.140625,0.052734375,0.019775391,0.007415771,0.002780914,0.001042843,0.000391066,0.923879533
0.4,0.16,0.064,0.0256,0.01024,0.004096,0.0016384,0.00065536,0.951056516
0.425,0.180625,0.076765625,0.032625391,0.013865791,0.005892961,0.002504509,0.001064416,0.97236992
0.45,0.2025,0.091125,0.04100625,0.018452813,0.008303766,0.003736695,0.001681513,0.987688341
0.475,0.225625,0.107171875,0.050906641,0.024180654,0.011485811,0.00545576,0.002591486,0.996917334
0.5,0.25,0.125,0.0625,0.03125,0.015625,0.0078125,0.00390625,1
0.525,0.275625,0.144703125,0.075969141,0.039883799,0.020938994,0.010992972,0.00577131,0.996917334
0.55,0.3025,0.166375,0.09150625,0.050328438,0.027680641,0.015224352,0.008373394,0.987688341
0.575,0.330625,0.190109375,0.109312891,0.062854912,0.036141574,0.020781405,0.011949308,0.97236992
0.6,0.36,0.216,0.1296,0.07776,0.046656,0.0279936,0.01679616,0.951056516
0.625,0.390625,0.244140625,0.152587891,0.095367432,0.059604645,0.037252903,0.023283064,0.923879533
0.65,0.4225,0.274625,0.17850625,0.116029063,0.075418891,0.049022279,0.031864481,0.891006524
0.675,0.455625,0.307546875,0.207594141,0.140126045,0.09458508,0.063844929,0.043095327,0.852640164
0.7,0.49,0.343,0.2401,0.16807,0.117649,0.0823543,0.05764801,0.809016994
0.725,0.525625,0.381078125,0.276281641,0.200304189,0.145220537,0.10528489,0.076331545,0.760405966
0.75,0.5625,0.421875,0.31640625,0.237304688,0.177978516,0.133483887,0.100112915,0.707106781
0.775,0.600625,0.465484375,0.360750391,0.279581553,0.216675703,0.16792367,0.130140844,0.649448048
0.8,0.64,0.512,0.4096,0.32768,0.262144,0.2097152,0.16777216,0.587785252
0.825,0.680625,0.561515625,0.463250391,0.382181572,0.315299797,0.260122333,0.214600924,0.522498565
0.85,0.7225,0.614125,0.52200625,0.443705313,0.377149516,0.320577088,0.272490525,0.4539905
0.875,0.765625,0.669921875,0.586181641,0.512908936,0.448795319,0.392695904,0.343608916,0.382683432
0.9,0.81,0.729,0.6561,0.59049,0.531441,0.4782969,0.43046721,0.309016994
0.925,0.855625,0.791453125,0.732094141,0.67718708,0.626398049,0.579418195,0.535961831,0.233445364
0.95,0.9025,0.857375,0.81450625,0.773780938,0.735091891,0.698337296,0.663420431,0.156434465
0.975,0.950625,0.926859375,0.903687891,0.881095693,0.859068301,0.837591593,0.816651804,0.078459096
